Date,Open,High,Low,Close,Volume
2022-02-15,37035.0,37135.0,36595.0,36780.0,40012
2022-02-16,37290.0,37500.0,37170.0,37410.0,148235
2022-02-17,37600.0,38000.0,37290.0,37675.0,227147
2022-02-18,37430.0,37615.0,37155.0,37535.0,277050
2022-02-21,36810.0,37590.0,36770.0,37590.0,189306
2022-02-22,36985.0,37170.0,36755.0,37040.0,333445
2022-02-23,37245.0,37245.0,36950.0,37120.0,33749
2022-02-24,36765.0,36765.0,36045.0,36155.0,917832
2022-02-25,36435.0,36730.0,36350.0,36510.0,30807
2022-02-28,36435.0,36835.0,36220.0,36835.0,84849
2022-03-02,36835.0,36945.0,36630.0,36720.0,66596
2022-03-03,36960.0,37420.0,36950.0,37340.0,38711
2022-03-04,37285.0,37285.0,36650.0,36785.0,79480
2022-03-07,36215.0,36215.0,35750.0,35940.0,286709
2022-03-08,35540.0,35880.0,35400.0,35475.0,55530
2022-03-10,36020.0,36535.0,36020.0,36255.0,269231
2022-03-11,36255.0,36255.0,35920.0,36120.0,169156
2022-03-14,35985.0,36230.0,35870.0,36035.0,69548
2022-03-15,35955.0,35955.0,35595.0,35710.0,256739
2022-03-16,36025.0,36275.0,35825.0,36200.0,56005
2022-03-17,37105.0,37105.0,36760.0,36765.0,162374
2022-03-18,36645.0,36895.0,36620.0,36875.0,38288
2022-03-21,36955.0,36955.0,36450.0,36525.0,54069
2022-03-22,36620.0,36875.0,36570.0,36825.0,76660
2022-03-23,37140.0,37305.0,36950.0,37120.0,51253
2022-03-24,36940.0,37005.0,36705.0,36980.0,27083
2022-03-25,37120.0,37120.0,36770.0,36845.0,54487
2022-03-28,36765.0,36960.0,36525.0,36865.0,68150
2022-03-29,37015.0,37205.0,36910.0,36990.0,105071
2022-03-30,37350.0,37420.0,37130.0,37165.0,112570
2022-03-31,37160.0,37460.0,37160.0,37305.0,160891
2022-04-01,37165.0,37165.0,36855.0,37040.0,223936
2022-04-04,37000.0,37230.0,36780.0,37180.0,58565
2022-04-05,37370.0,37370.0,37070.0,37215.0,28929
2022-04-06,36945.0,36965.0,36775.0,36795.0,425252
2022-04-07,36550.0,36570.0,36215.0,36300.0,50916
2022-04-08,36310.0,36415.0,36110.0,36315.0,13875
2022-04-11,36300.0,36425.0,36080.0,36280.0,55607
2022-04-12,36180.0,36210.0,35835.0,35955.0,168513
2022-04-13,36040.0,36660.0,36040.0,36635.0,138591
2022-04-14,36750.0,36750.0,36340.0,36440.0,107614
2022-04-15,36390.0,36390.0,35940.0,36050.0,226285
2022-04-18,35785.0,36160.0,35785.0,36050.0,77630
2022-04-19,36255.0,36555.0,36255.0,36455.0,123266
2022-04-20,36445.0,36505.0,36180.0,36430.0,141484
2022-04-21,36655.0,36800.0,36550.0,36600.0,44752
2022-04-22,36320.0,36320.0,36055.0,36200.0,226030
2022-04-25,35925.0,35925.0,35585.0,35620.0,190631
2022-04-26,35650.0,35925.0,35650.0,35760.0,224702
2022-04-27,35300.0,35370.0,35050.0,35325.0,252206
2022-04-28,35190.0,35230.0,34790.0,35230.0,199134
