Date,Tenkan,Kijun,Senkou_A,Senkou_B,Close
2022-01-10,326500.0,326500.0,326500.0,355250.0,295500.0
2022-01-11,326000.0,326000.0,326000.0,354750.0,289000.0
2022-01-12,326000.0,326000.0,326000.0,354750.0,297000.0
2022-01-13,322000.0,326000.0,324000.0,354750.0,291500.0
2022-01-14,314000.0,320250.0,317125.0,349000.0,284000.0
2022-01-17,306250.0,320250.0,313250.0,349000.0,280000.0
2022-01-18,292500.0,320250.0,306375.0,349000.0,277500.0
2022-01-19,287250.0,315500.0,301375.0,344250.0,274500.0
2022-01-20,284750.0,315500.0,300125.0,344250.0,288000.0
2022-01-21,284750.0,315500.0,300125.0,344250.0,285000.0
2022-01-24,284750.0,315500.0,300125.0,344250.0,277000.0
2022-01-25,283000.0,315500.0,299250.0,344250.0,271000.0
2022-01-26,272250.0,307500.0,289875.0,336250.0,251500.0
2022-01-27,267500.0,302750.0,285125.0,331500.0,241500.0
2022-01-28,261500.0,296750.0,279125.0,325500.0,237000.0
2022-02-03,261500.0,296750.0,279125.0,325500.0,238000.0
2022-02-04,261500.0,296750.0,279125.0,324250.0,260000.0
2022-02-07,261500.0,296750.0,279125.0,322750.0,249500.0
2022-02-08,257250.0,296750.0,277000.0,317750.0,249500.0
2022-02-09,255500.0,296750.0,276125.0,317750.0,258000.0
2022-02-10,251000.0,292750.0,271875.0,311750.0,255000.0
2022-02-11,247250.0,290500.0,268875.0,311750.0,252000.0
2022-02-14,247250.0,282750.0,265000.0,311500.0,254000.0
2022-02-15,250000.0,269000.0,259500.0,308000.0,239000.0
2022-02-16,250000.0,268500.0,259250.0,304750.0,256500.0
2022-02-17,252750.0,266000.0,259375.0,299500.0,260000.0
2022-02-18,252750.0,266000.0,259375.0,296750.0,262500.0
2022-02-21,256750.0,266000.0,261375.0,296750.0,275500.0
2022-02-22,256750.0,264250.0,260500.0,296750.0,275500.0
2022-02-23,263250.0,261500.0,262375.0,296750.0,281500.0
2022-02-24,263250.0,261500.0,262375.0,296750.0,283000.0
2022-02-25,264500.0,261500.0,263000.0,296750.0,286500.0
2022-02-28,266750.0,261500.0,264125.0,296750.0,286500.0
2022-03-02,273000.0,261500.0,267250.0,296750.0,286500.0
2022-03-03,273500.0,261500.0,267500.0,296750.0,278500.0
2022-03-04,274750.0,260750.0,267750.0,296750.0,278500.0
2022-03-07,281000.0,260750.0,270875.0,296750.0,276500.0
2022-03-08,281000.0,260750.0,270875.0,296750.0,274000.0
2022-03-10,281000.0,260750.0,270875.0,296750.0,274000.0
2022-03-11,281000.0,260750.0,270875.0,296750.0,284000.0
2022-03-14,279750.0,263500.0,271625.0,296750.0,285000.0
2022-03-15,279750.0,263500.0,271625.0,296750.0,285000.0
2022-03-16,279750.0,264500.0,272125.0,296750.0,285000.0
2022-03-17,279750.0,264500.0,272125.0,296750.0,285000.0
2022-03-18,279750.0,264500.0,272125.0,296750.0,285500.0
2022-03-21,279750.0,264500.0,272125.0,296750.0,285500.0
2022-03-22,281750.0,264500.0,273125.0,292750.0,289000.0
2022-03-23,293000.0,271500.0,282250.0,290500.0,297500.0
2022-03-24,293000.0,271500.0,282250.0,282750.0,300000.0
2022-03-25,293500.0,273750.0,283625.0,269000.0,301000.0
2022-03-28,293500.0,280000.0,286750.0,268500.0,301000.0
2022-03-29,293500.0,280500.0,287000.0,267750.0,299000.0
2022-03-30,296500.0,284750.0,290625.0,270750.0,309500.0
2022-03-31,297750.0,291750.0,294750.0,271500.0,309500.0
2022-04-01,305750.0,299750.0,302750.0,279500.0,323000.0
2022-04-04,313250.0,302250.0,307750.0,282000.0,313500.0
2022-04-05,314000.0,302250.0,308125.0,282000.0,311500.0
2022-04-06,315750.0,302250.0,309000.0,282000.0,300000.0
2022-04-07,312000.0,302250.0,307125.0,282000.0,290000.0
2022-04-08,308250.0,302250.0,305250.0,282000.0,283500.0
2022-04-11,307750.0,302250.0,305000.0,282000.0,282000.0
2022-04-12,305500.0,302250.0,303875.0,282000.0,283500.0
2022-04-13,305500.0,302250.0,303875.0,282000.0,301500.0
2022-04-14,305500.0,304250.0,304875.0,282000.0,297000.0
2022-04-15,297000.0,305500.0,301250.0,282000.0,294000.0
2022-04-18,293750.0,305500.0,299625.0,282000.0,279500.0
2022-04-19,290000.0,305500.0,297750.0,284750.0,280000.0
2022-04-20,283000.0,299000.0,291000.0,284750.0,264000.0
2022-04-21,280000.0,296000.0,288000.0,285750.0,261000.0
2022-04-22,278000.0,294000.0,286000.0,285750.0,254500.0
2022-04-25,274500.0,290500.0,282500.0,285750.0,250500.0
